commentaire,theme
Le professeur explique clairement les notions,pedagogie
Le professeur explique clairement les notions cette annee,pedagogie
Le professeur explique clairement les notions dans cette matiere,pedagogie
Les explications sont simples et faciles a suivre,pedagogie
Les explications sont simples et faciles a suivre cette annee,pedagogie
Les explications sont simples et faciles a suivre dans cette matiere,pedagogie
Le cours est bien presente et le professeur est clair,pedagogie
Le cours est bien presente et le professeur est clair cette annee,pedagogie
Le cours est bien presente et le professeur est clair dans cette matiere,pedagogie
Le professeur donne de bons exemples,pedagogie
Le professeur donne de bons exemples cette annee,pedagogie
Le professeur donne de bons exemples dans cette matiere,pedagogie
Les notions sont bien introduites pendant le cours,pedagogie
Les notions sont bien introduites pendant le cours cette annee,pedagogie
Les notions sont bien introduites pendant le cours dans cette matiere,pedagogie
Le professeur va trop vite dans ses explications,pedagogie
Le professeur va trop vite dans ses explications cette annee,pedagogie
Le professeur va trop vite dans ses explications dans cette matiere,pedagogie
Le cours est vivant et agreable a suivre,pedagogie
Le cours est vivant et agreable a suivre cette annee,pedagogie
Le cours est vivant et agreable a suivre dans cette matiere,pedagogie
Les explications manquent parfois de details,pedagogie
Les explications manquent parfois de details cette annee,pedagogie
Les explications manquent parfois de details dans cette matiere,pedagogie
Le professeur prend le temps de repondre aux questions,pedagogie
Le professeur prend le temps de repondre aux questions cette annee,pedagogie
Le professeur prend le temps de repondre aux questions dans cette matiere,pedagogie
Les exemples aident beaucoup a comprendre,pedagogie
Les exemples aident beaucoup a comprendre cette annee,pedagogie
Les exemples aident beaucoup a comprendre dans cette matiere,pedagogie
Les exercices sont trop difficiles,difficulte
Les exercices sont trop difficiles cette annee,difficulte
Les exercices sont trop difficiles dans cette matiere,difficulte
Le niveau du cours est eleve,difficulte
Le niveau du cours est eleve cette annee,difficulte
Le niveau du cours est eleve dans cette matiere,difficulte
Les notions demandees sont compliquees,difficulte
Les notions demandees sont compliquees cette annee,difficulte
Les notions demandees sont compliquees dans cette matiere,difficulte
Le partiel semble plus difficile que les TD,difficulte
Le partiel semble plus difficile que les TD cette annee,difficulte
Le partiel semble plus difficile que les TD dans cette matiere,difficulte
Il faut beaucoup travailler pour comprendre,difficulte
Il faut beaucoup travailler pour comprendre cette annee,difficulte
Il faut beaucoup travailler pour comprendre dans cette matiere,difficulte
Les calculs sont longs et difficiles,difficulte
Les calculs sont longs et difficiles cette annee,difficulte
Les calculs sont longs et difficiles dans cette matiere,difficulte
Le cours demande de bonnes bases en mathematiques,difficulte
Le cours demande de bonnes bases en mathematiques cette annee,difficulte
Le cours demande de bonnes bases en mathematiques dans cette matiere,difficulte
Les questions sont parfois piegeuses,difficulte
Les questions sont parfois piegeuses cette annee,difficulte
Les questions sont parfois piegeuses dans cette matiere,difficulte
Les TD sont difficiles mais utiles,difficulte
Les TD sont difficiles mais utiles cette annee,difficulte
Les TD sont difficiles mais utiles dans cette matiere,difficulte
Le niveau augmente rapidement pendant le semestre,difficulte
Le niveau augmente rapidement pendant le semestre cette annee,difficulte
Le niveau augmente rapidement pendant le semestre dans cette matiere,difficulte
Le planning du cours n'est pas tres clair,organisation
Le planning du cours n'est pas tres clair cette annee,organisation
Le planning du cours n'est pas tres clair dans cette matiere,organisation
Les informations arrivent souvent trop tard,organisation
Les informations arrivent souvent trop tard cette annee,organisation
Les informations arrivent souvent trop tard dans cette matiere,organisation
Les documents ne sont pas toujours disponibles,organisation
Les documents ne sont pas toujours disponibles cette annee,organisation
Les documents ne sont pas toujours disponibles dans cette matiere,organisation
L'organisation des seances pourrait etre meilleure,organisation
L'organisation des seances pourrait etre meilleure cette annee,organisation
L'organisation des seances pourrait etre meilleure dans cette matiere,organisation
Les horaires changent parfois au dernier moment,organisation
Les horaires changent parfois au dernier moment cette annee,organisation
Les horaires changent parfois au dernier moment dans cette matiere,organisation
Le cours manque un peu de structure,organisation
Le cours manque un peu de structure cette annee,organisation
Le cours manque un peu de structure dans cette matiere,organisation
Les consignes ne sont pas toujours precises,organisation
Les consignes ne sont pas toujours precises cette annee,organisation
Les consignes ne sont pas toujours precises dans cette matiere,organisation
Il faudrait mieux organiser les supports de cours,organisation
Il faudrait mieux organiser les supports de cours cette annee,organisation
Il faudrait mieux organiser les supports de cours dans cette matiere,organisation
Les chapitres ne sont pas toujours dans le bon ordre,organisation
Les chapitres ne sont pas toujours dans le bon ordre cette annee,organisation
Les chapitres ne sont pas toujours dans le bon ordre dans cette matiere,organisation
Le calendrier des evaluations devrait etre annonce plus tot,organisation
Le calendrier des evaluations devrait etre annonce plus tot cette annee,organisation
Le calendrier des evaluations devrait etre annonce plus tot dans cette matiere,organisation
Il y a beaucoup de devoirs a rendre,charge_travail
Il y a beaucoup de devoirs a rendre cette annee,charge_travail
Il y a beaucoup de devoirs a rendre dans cette matiere,charge_travail
La charge de travail est importante,charge_travail
La charge de travail est importante cette annee,charge_travail
La charge de travail est importante dans cette matiere,charge_travail
Le cours demande beaucoup de temps personnel,charge_travail
Le cours demande beaucoup de temps personnel cette annee,charge_travail
Le cours demande beaucoup de temps personnel dans cette matiere,charge_travail
Il faut reviser regulierement pour suivre,charge_travail
Il faut reviser regulierement pour suivre cette annee,charge_travail
Il faut reviser regulierement pour suivre dans cette matiere,charge_travail
Les exercices prennent beaucoup de temps,charge_travail
Les exercices prennent beaucoup de temps cette annee,charge_travail
Les exercices prennent beaucoup de temps dans cette matiere,charge_travail
Le rythme de travail est assez soutenu,charge_travail
Le rythme de travail est assez soutenu cette annee,charge_travail
Le rythme de travail est assez soutenu dans cette matiere,charge_travail
Il y a trop de choses a apprendre en peu de temps,charge_travail
Il y a trop de choses a apprendre en peu de temps cette annee,charge_travail
Il y a trop de choses a apprendre en peu de temps dans cette matiere,charge_travail
La preparation des TD est longue,charge_travail
La preparation des TD est longue cette annee,charge_travail
La preparation des TD est longue dans cette matiere,charge_travail
Le travail demande est assez lourd,charge_travail
Le travail demande est assez lourd cette annee,charge_travail
Le travail demande est assez lourd dans cette matiere,charge_travail
Il faut beaucoup s'investir dans cette matiere,charge_travail
Il faut beaucoup s'investir dans cette matiere cette annee,charge_travail
Il faut beaucoup s'investir dans cette matiere dans cette matiere,charge_travail
Je suis satisfait du cours,satisfaction
Je suis satisfait du cours cette annee,satisfaction
Je suis satisfait du cours dans cette matiere,satisfaction
Le cours est interessant et utile,satisfaction
Le cours est interessant et utile cette annee,satisfaction
Le cours est interessant et utile dans cette matiere,satisfaction
J'ai l'impression de progresser,satisfaction
J'ai l'impression de progresser cette annee,satisfaction
J'ai l'impression de progresser dans cette matiere,satisfaction
Cette matiere est motivante,satisfaction
Cette matiere est motivante cette annee,satisfaction
Cette matiere est motivante dans cette matiere,satisfaction
Le cours donne envie d'aller plus loin,satisfaction
Le cours donne envie d'aller plus loin cette annee,satisfaction
Le cours donne envie d'aller plus loin dans cette matiere,satisfaction
Je trouve le contenu pertinent,satisfaction
Je trouve le contenu pertinent cette annee,satisfaction
Je trouve le contenu pertinent dans cette matiere,satisfaction
Le cours est globalement positif,satisfaction
Le cours est globalement positif cette annee,satisfaction
Le cours est globalement positif dans cette matiere,satisfaction
J'apprecie la facon dont le cours est construit,satisfaction
J'apprecie la facon dont le cours est construit cette annee,satisfaction
J'apprecie la facon dont le cours est construit dans cette matiere,satisfaction
Cette matiere est enrichissante,satisfaction
Cette matiere est enrichissante cette annee,satisfaction
Cette matiere est enrichissante dans cette matiere,satisfaction
Le cours correspond a mes attentes,satisfaction
Le cours correspond a mes attentes cette annee,satisfaction
Le cours correspond a mes attentes dans cette matiere,satisfaction
